customer_id,age_band,tenure_months,contract_type,monthly_charge,monthly_minutes,monthly_data_gb,support_tickets_6m,payment_method,churned
NT-00160,35-44,28,One-year,35.98,169,3.9,0,Bank transfer,0
NT-00161,45-54,19,Month-to-month,29.51,184,4.0,2,Credit card (tokenised),0
NT-00162,45-54,79,Month-to-month,54.8,646,5.4,2,Credit card (tokenised),0
NT-00163,35-44,14,Month-to-month,36.71,221,18.8,0,Direct debit,0
NT-00164,18-24,53,One-year,45.18,489,1.6,1,Credit card (tokenised),1
NT-00165,55-64,29,Two-year,31.02,186,13.7,0,Credit card (tokenised),0
NT-00166,25-34,42,One-year,48.16,81,12.1,1,Credit card (tokenised),0
NT-00167,25-34,38,Month-to-month,47.27,584,19.5,1,Credit card (tokenised),0
NT-00168,18-24,41,Month-to-month,18.49,240,4.9,1,Direct debit,0
NT-00169,45-54,83,Month-to-month,38.05,788,19.8,3,Direct debit,1
NT-00170,45-54,77,Month-to-month,39.4,207,18.8,0,Direct debit,0
NT-00171,18-24,20,Month-to-month,34.4,134,6.9,1,Credit card (tokenised),0
NT-00172,35-44,37,Month-to-month,54.62,195,14.7,0,Direct debit,1
NT-00173,25-34,10,Month-to-month,23.39,340,4.1,0,Direct debit,0
NT-00174,45-54,43,Two-year,32.62,1094,7.9,0,Credit card (tokenised),0
NT-00175,25-34,48,One-year,27.81,724,5.7,0,Direct debit,0
NT-00176,45-54,7,One-year,50.36,575,3.7,0,Direct debit,0
NT-00177,35-44,28,Month-to-month,25.66,798,13.5,0,Credit card (tokenised),0
NT-00178,65+,41,Two-year,16.01,306,6.5,0,Bank transfer,0
NT-00179,18-24,35,One-year,43.18,242,20.5,0,Direct debit,0
NT-00180,25-34,14,Two-year,36.33,600,3.4,1,Credit card (tokenised),1
NT-00181,18-24,15,Month-to-month,50.48,327,18.1,0,Direct debit,0
NT-00182,65+,27,Month-to-month,47.75,190,9.3,0,Direct debit,0
NT-00183,55-64,23,Month-to-month,37.49,18,11.0,0,Direct debit,0
NT-00184,25-34,24,Month-to-month,20.68,176,4.6,1,Credit card (tokenised),0
NT-00185,45-54,13,One-year,23.62,446,8.9,1,Bank transfer,0
NT-00186,55-64,29,Two-year,16.72,190,11.1,0,Direct debit,0
NT-00187,35-44,61,Month-to-month,36.34,533,13.1,0,Credit card (tokenised),0
NT-00188,35-44,14,Month-to-month,30.1,129,13.5,0,Direct debit,0
NT-00189,25-34,26,One-year,35.83,179,12.0,0,Bank transfer,0
NT-00190,18-24,39,Month-to-month,40.08,802,22.2,2,Direct debit,1
NT-00191,55-64,11,One-year,60.78,571,3.3,0,Credit card (tokenised),0
NT-00192,65+,29,One-year,44.97,342,2.1,0,Direct debit,0
NT-00193,45-54,48,Month-to-month,38.86,342,25.0,0,Bank transfer,0
NT-00194,25-34,16,One-year,19.22,197,12.1,2,Direct debit,0
NT-00195,25-34,31,Month-to-month,38.31,654,19.4,2,Direct debit,1
NT-00196,45-54,46,Two-year,48.58,661,0.8,0,Credit card (tokenised),0
NT-00197,55-64,81,One-year,42.69,303,11.2,0,Bank transfer,0
NT-00198,55-64,30,Two-year,25.43,299,1.6,1,Bank transfer,0
NT-00199,55-64,19,Month-to-month,33.48,234,14.0,2,Direct debit,0
NT-00200,45-54,9,Month-to-month,38.88,391,12.2,1,Direct debit,0
NT-00201,18-24,19,Month-to-month,33.1,85,24.5,0,Bank transfer,0
NT-00202,25-34,12,Month-to-month,30.59,321,10.4,1,Direct debit,0
NT-00203,55-64,63,Two-year,12.23,577,20.0,1,Credit card (tokenised),0
NT-00204,45-54,45,Month-to-month,28.78,366,16.1,0,Direct debit,0
NT-00205,18-24,15,One-year,41.01,492,8.9,0,Credit card (tokenised),0
NT-00206,18-24,19,Month-to-month,48.5,415,12.4,1,Credit card (tokenised),0
NT-00207,45-54,30,Month-to-month,38.91,374,22.7,0,Credit card (tokenised),0
NT-00208,18-24,48,Two-year,50.71,336,44.2,1,Credit card (tokenised),0
NT-00209,25-34,37,Month-to-month,37.06,534,16.2,0,Credit card (tokenised),0
NT-00210,35-44,35,One-year,27.47,291,19.1,1,Credit card (tokenised),0
NT-00211,45-54,32,Month-to-month,32.31,171,14.3,1,Credit card (tokenised),0
NT-00212,45-54,15,Two-year,43.99,695,21.0,0,Credit card (tokenised),0
NT-00213,25-34,30,One-year,34.78,504,1.7,0,Credit card (tokenised),0
NT-00214,45-54,28,One-year,30.29,77,12.2,0,Credit card (tokenised),0
NT-00215,25-34,12,Month-to-month,19.31,395,10.4,2,Bank transfer,0
NT-00216,25-34,63,Month-to-month,27.28,71,10.0,0,Direct debit,0
NT-00217,45-54,21,Two-year,33.24,137,12.6,0,Credit card (tokenised),0
NT-00218,45-54,12,Two-year,31.02,420,11.8,1,Bank transfer,0
NT-00219,55-64,23,Month-to-month,26.3,678,11.9,0,Direct debit,0
NT-00220,45-54,25,Month-to-month,56.69,978,0.1,0,Credit card (tokenised),0
NT-00221,35-44,28,Month-to-month,45.2,804,22.6,2,Direct debit,1
NT-00222,18-24,25,Month-to-month,64.31,101,18.7,0,Direct debit,0
NT-00223,35-44,29,One-year,18.74,864,2.8,2,Direct debit,0
NT-00224,25-34,31,Month-to-month,41.76,534,5.6,0,Credit card (tokenised),0
NT-00225,25-34,30,Month-to-month,32.78,559,25.9,2,Direct debit,0
NT-00226,65+,35,One-year,38.24,226,6.7,0,Direct debit,0
NT-00227,35-44,36,Month-to-month,60.21,445,13.5,2,Direct debit,1
NT-00228,55-64,37,One-year,17.13,425,13.3,0,Direct debit,0
NT-00229,45-54,41,Two-year,31.13,441,6.6,0,Credit card (tokenised),0
NT-00230,55-64,19,Month-to-month,29.02,488,3.9,2,Direct debit,0
NT-00231,35-44,20,One-year,31.16,332,2.0,1,Bank transfer,0
NT-00232,35-44,48,Month-to-month,12.67,291,13.0,0,Direct debit,0
NT-00233,35-44,23,Month-to-month,53.42,354,14.6,0,Credit card (tokenised),0
NT-00234,25-34,27,Month-to-month,53.9,634,4.2,0,Direct debit,0
NT-00235,45-54,26,Month-to-month,44.98,554,15.2,0,Bank transfer,0
NT-00236,25-34,79,Month-to-month,21.94,614,10.1,1,Direct debit,0
NT-00237,18-24,18,Month-to-month,41.33,426,13.3,1,Credit card (tokenised),0
NT-00238,45-54,17,Two-year,48.39,180,9.3,0,Credit card (tokenised),0
NT-00239,25-34,29,One-year,42.66,232,10.4,1,Direct debit,0
NT-00240,65+,26,Two-year,37.41,551,11.4,0,Direct debit,0
NT-00241,65+,15,One-year,54.93,649,15.6,1,Credit card (tokenised),0
NT-00242,65+,27,Month-to-month,29.49,600,16.6,0,Credit card (tokenised),0
NT-00243,35-44,29,Month-to-month,35.97,355,4.6,0,Direct debit,0
NT-00244,18-24,22,Month-to-month,45.51,387,6.1,1,Credit card (tokenised),0
NT-00245,65+,27,Month-to-month,41.81,361,3.9,0,Credit card (tokenised),0
NT-00246,35-44,19,One-year,44.72,118,30.1,0,Bank transfer,0
NT-00247,65+,15,Month-to-month,44.4,166,4.2,2,Credit card (tokenised),0
NT-00248,65+,23,Month-to-month,44.3,477,2.2,2,Direct debit,0
NT-00249,55-64,16,Month-to-month,33.62,278,5.1,0,Direct debit,0
NT-00250,25-34,13,Month-to-month,29.63,69,32.9,0,Direct debit,0
NT-00251,35-44,9,Month-to-month,39.65,366,5.2,3,Direct debit,0
NT-00252,55-64,32,Month-to-month,56.13,176,5.7,0,Credit card (tokenised),0
NT-00253,25-34,23,One-year,37.7,160,16.5,2,Credit card (tokenised),1
NT-00254,25-34,48,Month-to-month,45.19,115,19.9,1,Credit card (tokenised),0
NT-00255,35-44,8,One-year,39.35,204,5.6,0,Credit card (tokenised),0
NT-00256,65+,24,Month-to-month,62.4,51,3.0,1,Direct debit,0
NT-00257,45-54,32,Month-to-month,36.35,176,6.0,1,Direct debit,1
NT-00258,35-44,20,One-year,45.23,480,13.8,0,Direct debit,0
NT-00259,18-24,28,One-year,29.37,415,10.6,0,Bank transfer,1
NT-00260,45-54,9,Month-to-month,24.55,602,18.6,1,Credit card (tokenised),0
NT-00261,65+,23,Two-year,37.92,437,14.5,1,Direct debit,0
NT-00262,25-34,18,Month-to-month,52.17,39,15.8,1,Direct debit,1
NT-00263,35-44,45,Month-to-month,45.6,274,16.8,0,Direct debit,0
NT-00264,55-64,31,One-year,12.96,260,14.6,1,Bank transfer,0
NT-00265,45-54,42,One-year,46.79,163,11.6,1,Direct debit,0
NT-00266,45-54,50,Month-to-month,19.62,116,12.6,1,Credit card (tokenised),0
NT-00267,45-54,22,Month-to-month,48.08,463,16.2,1,Direct debit,0
NT-00268,25-34,31,Two-year,44.53,321,4.6,2,Credit card (tokenised),0
NT-00269,25-34,15,Month-to-month,36.2,146,24.2,0,Bank transfer,0
NT-00270,55-64,35,Month-to-month,46.73,105,3.5,0,Direct debit,0
NT-00271,55-64,37,Month-to-month,34.83,541,3.0,0,Direct debit,0
NT-00272,55-64,34,Two-year,39.79,486,7.2,0,Direct debit,0
NT-00273,65+,22,Month-to-month,20.74,494,8.4,1,Direct debit,0
NT-00274,35-44,66,One-year,34.93,475,10.3,1,Credit card (tokenised),0
NT-00275,35-44,29,One-year,49.09,475,10.1,0,Direct debit,0
NT-00276,55-64,96,Month-to-month,22.03,444,6.3,0,Credit card (tokenised),0
NT-00277,45-54,15,One-year,47.82,220,5.7,0,Credit card (tokenised),0
NT-00278,45-54,39,Two-year,13.78,470,12.2,1,Direct debit,0
NT-00279,55-64,46,Month-to-month,23.72,351,18.7,2,Credit card (tokenised),0
NT-00280,55-64,15,Month-to-month,34.22,179,5.4,2,Credit card (tokenised),0
NT-00281,25-34,25,Two-year,39.84,325,1.4,2,Direct debit,0
NT-00282,35-44,12,One-year,31.13,649,3.2,0,Direct debit,0
NT-00283,18-24,51,Month-to-month,30.8,388,6.0,1,Direct debit,0
NT-00284,35-44,27,One-year,51.29,418,2.4,1,Direct debit,0
NT-00285,18-24,18,One-year,52.26,155,15.2,0,Direct debit,1
NT-00286,35-44,46,One-year,32.91,187,6.1,0,Credit card (tokenised),0
NT-00287,35-44,29,Two-year,33.27,352,16.1,1,Direct debit,0
NT-00288,25-34,43,Month-to-month,34.56,294,11.4,1,Credit card (tokenised),0
NT-00289,45-54,36,Month-to-month,64.61,266,16.3,0,Credit card (tokenised),0
NT-00290,18-24,16,One-year,38.2,156,17.0,0,Direct debit,0
NT-00291,18-24,21,Month-to-month,56.85,184,29.3,1,Direct debit,0
NT-00292,55-64,18,One-year,46.78,110,0.4,1,Direct debit,0
NT-00293,35-44,15,Month-to-month,36.74,232,15.4,0,Direct debit,0
NT-00294,18-24,10,Month-to-month,30.23,295,12.2,1,Credit card (tokenised),1
NT-00295,35-44,72,Month-to-month,47.35,309,20.3,0,Direct debit,0
NT-00296,55-64,33,One-year,28.57,637,3.6,1,Direct debit,0
NT-00297,25-34,36,One-year,33.36,65,6.6,1,Credit card (tokenised),0
NT-00298,45-54,49,Month-to-month,45.91,846,12.0,2,Credit card (tokenised),1
NT-00299,18-24,21,Month-to-month,35.11,475,9.9,0,Credit card (tokenised),0
NT-00300,18-24,13,Month-to-month,33.26,340,3.6,1,Credit card (tokenised),0
NT-00301,35-44,41,One-year,34.3,175,5.1,1,Direct debit,1
NT-00302,35-44,14,Month-to-month,29.76,241,22.9,0,Direct debit,0
NT-00303,45-54,41,One-year,43.39,469,5.0,0,Direct debit,0
NT-00304,45-54,12,Month-to-month,38.43,197,16.5,1,Credit card (tokenised),0
NT-00305,65+,13,Month-to-month,21.73,495,2.0,1,Credit card (tokenised),0
NT-00306,35-44,20,One-year,32.15,320,6.3,1,Credit card (tokenised),0
NT-00307,25-34,40,Month-to-month,33.6,319,4.9,2,Credit card (tokenised),0
NT-00308,55-64,61,Month-to-month,33.51,470,10.3,1,Credit card (tokenised),0
NT-00309,25-34,36,Month-to-month,45.19,147,5.0,2,Direct debit,1
NT-00310,35-44,21,Month-to-month,29.57,262,5.0,0,Direct debit,0
NT-00311,18-24,45,Month-to-month,70.45,296,29.9,0,Bank transfer,0
NT-00312,18-24,11,Month-to-month,54.63,457,4.6,0,Credit card (tokenised),0
NT-00313,65+,17,One-year,54.57,606,18.2,0,Credit card (tokenised),0
NT-00314,55-64,30,One-year,25.6,138,16.4,0,Direct debit,0
NT-00315,45-54,42,One-year,13.63,322,12.2,0,Credit card (tokenised),1
NT-00316,35-44,26,Month-to-month,33.93,130,9.0,1,Credit card (tokenised),0
NT-00317,25-34,24,One-year,41.52,320,10.4,0,Credit card (tokenised),0
NT-00318,25-34,25,One-year,36.06,420,5.9,0,Direct debit,0
NT-00319,25-34,49,Month-to-month,31.64,241,6.4,2,Direct debit,0
NT-00320,35-44,19,One-year,17.11,624,6.5,4,Direct debit,0
NT-00321,45-54,16,Two-year,29.93,423,9.0,1,Credit card (tokenised),0
NT-00322,45-54,25,Month-to-month,35.08,404,18.4,1,Bank transfer,0
NT-00323,25-34,52,Two-year,32.06,347,24.1,0,Direct debit,0
NT-00324,65+,20,Month-to-month,31.99,465,6.7,1,Credit card (tokenised),0
NT-00325,45-54,25,Month-to-month,28.42,653,4.1,1,Direct debit,0
NT-00326,35-44,11,Month-to-month,57.86,361,16.8,3,Direct debit,1
NT-00327,45-54,26,One-year,46.5,250,4.6,1,Direct debit,0
NT-00328,35-44,32,Month-to-month,49.47,1077,6.8,0,Credit card (tokenised),0
NT-00329,25-34,14,Two-year,41.27,355,7.4,2,Direct debit,0
NT-00330,25-34,49,One-year,21.98,295,7.4,3,Credit card (tokenised),0
NT-00331,45-54,32,One-year,46.86,451,12.9,0,Direct debit,0
NT-00332,18-24,22,Month-to-month,54.18,84,19.8,0,Credit card (tokenised),1
NT-00333,18-24,32,Two-year,55.93,131,31.6,4,Bank transfer,1
NT-00334,18-24,37,One-year,45.48,69,10.9,2,Bank transfer,0
NT-00335,18-24,9,Month-to-month,38.01,81,3.7,0,Credit card (tokenised),1
NT-00336,55-64,33,One-year,37.98,166,16.7,1,Credit card (tokenised),0
NT-00337,45-54,51,One-year,44.23,241,4.0,1,Credit card (tokenised),0
NT-00338,35-44,19,One-year,18.31,234,4.7,2,Direct debit,0
NT-00339,18-24,22,Month-to-month,45.66,300,1.4,4,Direct debit,1
NT-00340,35-44,24,Month-to-month,32.17,391,12.1,1,Bank transfer,0
NT-00341,35-44,42,Month-to-month,64.51,247,16.0,1,Credit card (tokenised),0
NT-00342,25-34,15,Month-to-month,34.39,399,6.4,2,Direct debit,0
NT-00343,35-44,36,One-year,40.33,650,10.0,1,Direct debit,0
NT-00344,35-44,24,Two-year,39.74,921,20.0,1,Direct debit,0
NT-00345,45-54,63,Two-year,29.69,715,16.7,1,Direct debit,0
NT-00346,45-54,25,One-year,43.49,851,4.8,0,Bank transfer,0
NT-00347,18-24,6,One-year,42.11,304,10.6,2,Direct debit,1
NT-00348,35-44,39,Month-to-month,50.27,91,14.3,0,Direct debit,0
NT-00349,45-54,35,One-year,46.65,288,5.1,0,Direct debit,0
NT-00350,35-44,31,Month-to-month,40.25,156,2.1,2,Bank transfer,1
NT-00351,55-64,50,Month-to-month,28.17,307,8.3,1,Bank transfer,0
